State,Year,Quarter,Category,Count,Amount
Jammu & Kashmir,2024,1,Merchant payments,44039688,26132817115.0
Jammu & Kashmir,2024,1,Peer-to-peer payments,21676857,63494530507.0
Jammu & Kashmir,2024,1,Recharge & bill payments,9191925,4183099352.0
Jammu & Kashmir,2024,1,Financial Services,36970,77808277.0
Jammu & Kashmir,2024,1,Others,170915,72673690.0
